ID,IUPACName,SMILES,CoreSMILES,State,InChIKey,E0(VvsSHE),G_solv
298,,COc1c2c(cc3ccccc13)=CC(=O)C(=O)C=2,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,WWEGVTHTLALZBP-UHFFFAOYSA-N,1.12,-64.6
299,"3-hydroxyanthracene-1,2-dione",O=C1C(=O)c2cc3ccccc3cc2C=C1O,O=C1C=Cc2cc3ccccc3cc2C1=O,Oxidized,JOEUHZFPIWWHTC-UHFFFAOYSA-N,1.12,-62.45
300,,O=C1C=c2cc3cccc(O)c3cc2=CC1=O,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,ZQINKXRZRCPHGF-UHFFFAOYSA-N,1.12,-85.42
301,,O=C1C=Cc2cc3c(cc2=C1)C(=O)C(C(=O)O)=CC=3,O=C1C=Cc2cc3c(cc2=C1)C(=O)C=CC=3,Oxidized,ZQLOZWUMRLOIHD-UHFFFAOYSA-N,1.12,-33.54
302,,COc1cccc2c1=CC(=O)C(=O)C=2,O=C1C=c2ccccc2=CC1=O,Oxidized,AUHQUDGEBIHXMI-UHFFFAOYSA-N,1.13,-70.9
303,,N#CC1=c2ccccc2=CC(=O)C1=O,O=C1C=c2ccccc2=CC1=O,Oxidized,AYXJCDINSQAWGY-UHFFFAOYSA-N,1.13,-34.49
304,,O=C1C=CC=C2C(=O)C([N+](=O)[O-])=CC=C12,O=C1C=CC=C2C(=O)C=CC=C12,Oxidized,CXDUCYHUYKONCD-UHFFFAOYSA-N,1.13,-46.41
305,,COC(=O)C1=C(C(=O)OC)C(C(=O)OC)=c2c(C(=O)OC)c3c(c(C(=O)OC)c2C1=O)=C(C(=O)OC)C(=O)C(C(=O)OC)=C3C(=O)OC,O=C1C=Cc2cc3c(cc2=C1)C(=O)C=CC=3,Oxidized,FKGXLUISRKUFTA-UHFFFAOYSA-N,1.13,-52.04
306,,O=C1C=c2cc3ccc([N+](=O)[O-])cc3cc2=CC1=O,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,GHHSBOQKGMNSCM-UHFFFAOYSA-N,1.13,-62.45
307,,O=C1C=c2cc3ccc(Cl)cc3cc2=CC1=O,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,HNQCBPCNXUNFAT-UHFFFAOYSA-N,1.13,-160.06
308,,C=Cc1c2c(cc3ccccc13)=CC(=O)C(=O)C=2,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,IPBSTJPUJZISBD-UHFFFAOYSA-N,1.13,-42.3
309,,O=C1C=c2cc3ccc([SiH3])cc3cc2=CC1=O,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,JOXJPXYPNCAZCT-UHFFFAOYSA-N,1.13,-35.38
